,date,Bariloche,isPartial,Mes,Año
139,2021-11-14,58,False,11,2021
140,2021-11-21,57,False,11,2021
141,2021-11-28,57,False,11,2021
142,2021-12-05,60,False,12,2021
143,2021-12-12,62,False,12,2021
144,2021-12-19,59,False,12,2021
145,2021-12-26,82,False,12,2021
146,2022-01-02,87,False,1,2022
147,2022-01-09,83,False,1,2022
148,2022-01-16,83,False,1,2022
149,2022-01-23,76,False,1,2022
150,2022-01-30,76,False,1,2022
151,2022-02-06,69,False,2,2022
152,2022-02-13,72,False,2,2022
153,2022-02-20,76,False,2,2022
154,2022-02-27,65,False,2,2022
155,2022-03-06,66,False,3,2022
156,2022-03-13,63,False,3,2022
157,2022-03-20,64,False,3,2022
158,2022-03-27,58,False,3,2022
159,2022-04-03,53,False,4,2022
160,2022-04-10,56,False,4,2022
161,2022-04-17,62,False,4,2022
162,2022-04-24,61,False,4,2022
163,2022-05-01,54,False,5,2022
164,2022-05-08,53,False,5,2022
165,2022-05-15,51,False,5,2022
166,2022-05-22,55,False,5,2022
167,2022-05-29,63,False,5,2022
168,2022-06-05,90,False,6,2022
169,2022-06-12,63,False,6,2022
170,2022-06-19,65,False,6,2022
171,2022-06-26,64,False,6,2022
172,2022-07-03,78,False,7,2022
173,2022-07-10,85,False,7,2022
174,2022-07-17,75,False,7,2022
175,2022-07-24,81,False,7,2022
176,2022-07-31,68,False,7,2022
177,2022-08-07,69,False,8,2022
178,2022-08-14,62,False,8,2022
179,2022-08-21,56,False,8,2022
180,2022-08-28,50,False,8,2022
181,2022-09-04,57,False,9,2022
182,2022-09-11,63,False,9,2022
183,2022-09-18,55,False,9,2022
184,2022-09-25,51,False,9,2022
185,2022-10-02,55,False,10,2022
186,2022-10-09,54,False,10,2022
187,2022-10-16,49,False,10,2022
188,2022-10-23,49,False,10,2022
189,2022-10-30,54,False,10,2022
190,2022-11-06,54,False,11,2022
191,2022-11-13,53,False,11,2022
192,2022-11-20,44,False,11,2022
193,2022-11-27,48,False,11,2022
194,2022-12-04,53,False,12,2022
195,2022-12-11,51,False,12,2022
196,2022-12-18,47,False,12,2022
197,2022-12-25,71,False,12,2022
198,2023-01-01,79,False,1,2023
199,2023-01-08,88,False,1,2023
200,2023-01-15,90,False,1,2023
201,2023-01-22,78,False,1,2023
202,2023-01-29,82,False,1,2023
203,2023-02-05,84,False,2,2023
204,2023-02-12,83,False,2,2023
205,2023-02-19,68,False,2,2023
206,2023-02-26,64,False,2,2023
207,2023-03-05,68,False,3,2023
208,2023-03-12,65,False,3,2023
209,2023-03-19,55,False,3,2023
210,2023-03-26,54,False,3,2023
211,2023-04-02,61,False,4,2023
212,2023-04-09,61,False,4,2023
213,2023-04-16,66,False,4,2023
214,2023-04-23,64,False,4,2023
215,2023-04-30,57,False,4,2023
216,2023-05-07,50,False,5,2023
217,2023-05-14,57,False,5,2023
218,2023-05-21,74,False,5,2023
219,2023-05-28,64,False,5,2023
220,2023-06-04,64,False,6,2023
221,2023-06-11,66,False,6,2023
222,2023-06-18,73,False,6,2023
223,2023-06-25,77,False,6,2023
224,2023-07-02,85,False,7,2023
225,2023-07-09,85,False,7,2023
226,2023-07-16,83,False,7,2023
227,2023-07-23,79,False,7,2023
228,2023-07-30,76,False,7,2023
229,2023-08-06,68,False,8,2023
230,2023-08-13,64,False,8,2023
231,2023-08-20,72,False,8,2023
232,2023-08-27,74,False,8,2023
233,2023-09-03,81,False,9,2023
234,2023-09-10,66,False,9,2023
235,2023-09-17,58,False,9,2023
236,2023-09-24,54,False,9,2023
237,2023-10-01,56,False,10,2023
238,2023-10-08,55,False,10,2023
239,2023-10-15,54,False,10,2023
240,2023-10-22,59,False,10,2023
241,2023-10-29,57,False,10,2023
242,2023-11-05,60,False,11,2023
243,2023-11-12,65,False,11,2023
244,2023-11-19,52,False,11,2023
245,2023-11-26,60,False,11,2023
246,2023-12-03,60,False,12,2023
247,2023-12-10,59,False,12,2023
248,2023-12-17,56,False,12,2023
249,2023-12-24,62,False,12,2023
250,2023-12-31,79,False,12,2023
251,2024-01-07,85,False,1,2024
252,2024-01-14,83,False,1,2024
253,2024-01-21,81,False,1,2024
254,2024-01-28,69,False,1,2024
255,2024-02-04,71,False,2,2024
256,2024-02-11,65,False,2,2024
257,2024-02-18,65,False,2,2024
258,2024-02-25,59,False,2,2024
259,2024-03-03,55,True,3,2024
